"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Nijmegen"
"Nummer";;"HSB6"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Beuningen";"Buren";"Culemborg";"Druten";"Heumen";"Maasdriel";"Nijmegen";"Tiel";"Wijchen";"Zaltbommel";"West Maas en Waal";"Neder-Betuwe";"Berg en Dal";"West Betuwe"
;;"5";"Westerveld, E.M.";"17226";"576";"191";"436";"259";"633";"94";"12203";"333";"760";"163";"188";"106";"944";"340"
;;"6";"Patijn, M.H.";"264";"5";"5";"24";"6";"7";"10";"136";"11";"9";"10";"1";"2";"16";"22"
;;"7";"Kröger, S.C.";"582";"15";"11";"63";"8";"8";"10";"341";"18";"12";"10";"12";"6";"24";"44"
;;"8";"Bushoff, T.J.";"72";"0";"2";"7";"0";"2";"1";"35";"2";"4";"2";"3";"3";"5";"6"
;;"9";"van der Lee, T.M.T.";"95";"1";"1";"10";"0";"3";"2";"42";"12";"4";"4";"4";"1";"5";"6"
;;"10";"Mutluer, S.";"176";"5";"4";"11";"1";"1";"3";"96";"31";"5";"6";"1";"2";"5";"5"
;;"11";"Bromet, L.";"569";"11";"15";"60";"4";"17";"8";"302";"33";"12";"19";"14";"1";"34";"39"
;;"12";"de Hoop, H.E.";"221";"4";"4";"16";"1";"5";"5";"129";"17";"9";"6";"1";"4";"9";"11"
;;"13";"Maatoug, S.";"232";"2";"3";"30";"3";"7";"1";"147";"9";"4";"7";"3";"5";"7";"4"
;;"14";"Mohandis, M.";"68";"2";"1";"10";"0";"2";"1";"26";"12";"1";"8";"2";"0";"1";"2"
;;"15";"Gabriëls, G.J.W.";"147";"6";"2";"10";"2";"4";"1";"91";"3";"9";"0";"1";"0";"11";"7"
;;"16";"Thijssen, J.";"51";"2";"0";"2";"0";"1";"1";"32";"1";"1";"3";"1";"2";"0";"5"
