"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Utrecht"
"Nummer";;"HSB8"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amersfoort";"Baarn";"De Bilt";"Bunnik";"Bunschoten";"Eemnes";"Houten";"Leusden";"Lopik";"Montfoort";"Renswoude";"Rhenen";"Soest";"Utrecht";"Veenendaal";"Woudenberg";"Wijk bij Duurstede";"IJsselstein";"Zeist";"Nieuwegein";"Oudewater";"Woerden";"De Ronde Venen";"Utrechtse Heuvelrug";"Stichtse Vecht";"Vijfheerenlanden"
;;"6";"van Aalst, R.R.";"9";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
;;"7";"Emons, I.M.A.";"22";"5";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"7";"1";"0";"1";"0";"0";"2";"0";"3";"0";"0";"0";"1"
;;"8";"Shahbazi Fishtali, S.";"110";"49";"3";"2";"0";"0";"1";"2";"4";"1";"1";"0";"0";"2";"21";"2";"3";"2";"2";"3";"3";"0";"2";"1";"1";"4";"1"
;;"9";"de Kok, A.";"7";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"10";"van Tellingen, H.P.";"18";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"5";"1";"0";"1";"0";"0";"0";"0";"1";"6";"0";"0";"0"
;;"11";"van der Velden, P.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"12";"Ramautarsing, Y.J.S.";"13";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0"
;;"13";"Bosscher, C.J.";"14";"1";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"5";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
;;"14";"Wijnschenk, H.H.R.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hulleman, S.P.X.";"106";"9";"3";"9";"0";"1";"1";"5";"2";"3";"1";"0";"1";"4";"21";"5";"0";"4";"1";"7";"3";"0";"4";"8";"9";"5";"0"
;;"16";"Schuiling, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"van der Veen, T.A.";"6";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"18";"Schilder, P.C.J.";"9";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1"
;;"19";"Vogelzang, S.J.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"20";"Pestman, R.J.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Vulders, S.";"8";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1"
;;"22";"van der Wiele, D.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Brunke, R.L.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Gorter-de Vos, M.";"5";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"25";"van Dalen, E.H.";"13";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"8"
;;"26";"Wiersma, K.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"van Kassel, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"28";"Wymenga-Kooistra, G.";"7";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0"
;;"29";"Jonk, S.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Zuidema, C.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van der Meeren, C.J.R.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Mensing, C.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"33";"Durlacher, F.";"9";"1";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"34";"Dienjes, C.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"de Bekker, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Laarhoven, E.L.O.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Eradus, R.F.E.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Westhoff, R.J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Beverloo, M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"40";"van Buuren, M.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Overeem, A.C.";"93";"30";"1";"2";"0";"0";"0";"3";"3";"1";"2";"0";"1";"3";"14";"0";"1";"0";"4";"4";"6";"0";"3";"3";"2";"6";"4"
;;"42";"Thiessens, F.B.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"43";"Brouwer, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Manders, T.T.A.J.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Filippini, L.T.C.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"1"
;;"46";"Verweij, D.W.";"14";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"6";"0"
;;"47";"Elens, R.B.";"20";"4";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0";"2";"0";"0";"1";"0";"5";"0";"0"
;;"48";"Rolloos, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Talsma, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Smolders, H.A.J.";"8";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"2";"0"
"19";"Nieuw Sociaal Contract";;;"88727";"10835";"1800";"2690";"1099";"2061";"785";"3825";"2826";"1129";"1167";"330";"1311";"3650";"14799";"5225";"1010";"2112";"2578";"3874";"4647";"855";"4153";"3478";"3675";"4489";"4324"
;;"1";"Omtzigt, P.H.";"77978";"9292";"1589";"2385";"972";"1916";"690";"3376";"2499";"1041";"1056";"308";"1205";"3073";"12291";"4795";"908";"1914";"2313";"3410";"4185";"794";"3723";"3048";"3179";"4050";"3966"
;;"2";"van Vroonhoven-Kok, J.N.";"4112";"555";"93";"169";"54";"77";"64";"203";"134";"47";"46";"9";"47";"153";"808";"187";"43";"90";"130";"176";"198";"31";"180";"156";"113";"189";"160"
;;"3";"Uitermark, J.J.M.";"789";"89";"21";"19";"11";"8";"4";"41";"19";"7";"13";"1";"2";"30";"184";"43";"6";"10";"34";"37";"32";"10";"43";"28";"27";"37";"33"
;;"4";"Veldkamp, C.C.J.";"189";"21";"7";"8";"4";"3";"0";"12";"5";"2";"1";"0";"3";"10";"41";"5";"2";"7";"2";"8";"11";"0";"5";"9";"6";"10";"7"
;;"5";"Palmen-Schlangen, S.T.P.H.";"1017";"88";"9";"18";"18";"6";"1";"34";"33";"5";"9";"4";"25";"16";"171";"72";"23";"51";"17";"46";"43";"2";"29";"17";"207";"38";"35"
;;"6";"van Hijum, Y.J.";"79";"14";"1";"2";"4";"1";"0";"10";"3";"0";"2";"0";"0";"1";"15";"0";"2";"0";"3";"5";"12";"0";"0";"1";"2";"1";"0"
;;"7";"Soepboer, A.J.";"298";"31";"5";"8";"3";"8";"0";"11";"8";"3";"4";"1";"2";"8";"83";"15";"3";"4";"8";"17";"5";"1";"22";"6";"18";"13";"11"
;;"8";"Joseph, A.S.";"631";"115";"20";"14";"3";"8";"6";"15";"26";"3";"2";"0";"2";"248";"59";"12";"1";"2";"7";"30";"15";"1";"8";"6";"8";"12";"8"
;;"9";"Six Dijkstra, J.P.S.";"410";"24";"5";"8";"5";"2";"3";"23";"7";"1";"5";"0";"0";"10";"194";"12";"1";"5";"15";"15";"19";"1";"12";"3";"12";"15";"13"
;;"10";"Welzijn, R.M.";"178";"19";"1";"3";"3";"0";"3";"4";"6";"1";"1";"1";"2";"8";"63";"11";"0";"2";"6";"4";"12";"0";"7";"7";"3";"4";"7"
;;"11";"Postma, W.L.";"63";"4";"3";"2";"0";"0";"1";"1";"3";"0";"3";"0";"0";"2";"16";"1";"0";"0";"1";"4";"5";"1";"5";"3";"1";"2";"5"
;;"12";"Zeedijk-Raeven, F.A.";"92";"16";"0";"1";"1";"1";"0";"3";"3";"0";"0";"0";"1";"1";"30";"4";"0";"1";"0";"5";"6";"0";"8";"2";"1";"3";"5"
;;"13";"Idsinga, F.L.";"24";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"2";"8";"1";"1";"0";"1";"0";"0";"0";"2";"2";"2";"0";"1"
;;"14";"Jansen, D.E.M.C.";"107";"14";"2";"1";"0";"2";"0";"2";"2";"0";"0";"0";"0";"4";"35";"4";"0";"1";"3";"12";"7";"1";"4";"1";"5";"4";"3"
;;"15";"van Oostenbruggen, T.";"248";"2";"1";"3";"1";"4";"0";"16";"0";"5";"8";"0";"0";"4";"131";"0";"2";"1";"10";"1";"12";"1";"20";"3";"4";"10";"9"
;;"16";"Kahraman, I.";"75";"14";"2";"3";"0";"0";"2";"3";"0";"2";"0";"0";"0";"4";"19";"4";"0";"2";"0";"4";"2";"0";"3";"1";"4";"4";"2"
;;"17";"Hertzberger, R.Y.";"471";"74";"16";"14";"3";"2";"1";"15";"17";"3";"4";"0";"7";"26";"128";"6";"5";"8";"5";"31";"15";"1";"15";"18";"26";"21";"10"
;;"18";"Bruyning, F.H.";"83";"17";"3";"1";"2";"1";"2";"3";"0";"0";"0";"0";"1";"0";"26";"2";"0";"2";"1";"4";"4";"4";"0";"3";"1";"3";"3"
;;"19";"van Dijk, O.C.";"387";"300";"3";"1";"0";"8";"0";"3";"24";"0";"0";"0";"1";"10";"16";"4";"2";"0";"1";"4";"0";"0";"2";"1";"3";"2";"2"
;;"20";"Holman, H.";"27";"3";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"9";"0";"1";"0";"0";"0";"0";"1";"3";"0";"1";"4";"0"
;;"21";"Boomsma, D.T.";"129";"18";"3";"4";"3";"0";"0";"5";"7";"0";"0";"0";"0";"5";"42";"6";"2";"0";"1";"8";"4";"0";"1";"10";"5";"4";"1"
;;"22";"Heite, A.";"144";"15";"0";"6";"0";"2";"1";"5";"3";"2";"0";"3";"1";"3";"52";"10";"0";"1";"1";"5";"9";"2";"5";"1";"4";"9";"4"
;;"23";"Saris, I.G.";"135";"16";"0";"3";"0";"2";"0";"7";"2";"0";"6";"0";"3";"3";"45";"4";"3";"0";"0";"10";"3";"1";"12";"2";"2";"6";"5"
;;"24";"Wingelaar, N.T.P.";"38";"5";"0";"0";"1";"3";"0";"0";"1";"1";"1";"0";"0";"1";"15";"2";"1";"0";"1";"3";"1";"0";"1";"0";"0";"1";"0"
;;"25";"Koops, W.J.";"10";"3";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"26";"Achahbar, N.";"121";"15";"2";"1";"1";"0";"2";"3";"3";"1";"0";"0";"0";"4";"54";"2";"0";"0";"1";"7";"7";"0";"2";"5";"1";"4";"6"
;;"27";"van Waveren, A.";"89";"6";"2";"4";"1";"0";"2";"4";"0";"1";"0";"0";"0";"0";"54";"0";"0";"0";"0";"2";"3";"0";"1";"1";"0";"6";"2"
;;"28";"de Korte-Verhoef, M.C.";"221";"9";"2";"1";"0";"1";"1";"3";"6";"0";"0";"0";"0";"2";"20";"6";"1";"0";"0";"1";"2";"0";"5";"136";"4";"13";"8"
;;"29";"Boelhouwer, N.P.";"35";"8";"2";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"4";"9";"0";"0";"1";"0";"2";"1";"1";"2";"1";"0";"0";"1"
;;"30";"Schouten, M.A.C.";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"7";"5";"1";"4";"0";"1";"0";"0";"0";"0";"22";"0";"1"
;;"31";"Kouwenhoven, A.J.";"13";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"6";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Verouden, V.C.H.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heine, J.A.H.";"9";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"34";"Pouwelse, S.F.W.";"20";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"8";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"4";"0"
;;"35";"de Leeuw-Jongejans, M.M.";"13";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1"
;;"36";"Hartog, I.C.";"24";"2";"0";"0";"0";"2";"0";"0";"2";"1";"0";"0";"0";"0";"5";"3";"0";"0";"0";"4";"0";"0";"3";"0";"1";"1";"0"
;;"37";"van Bruchem, R.H.J.";"13";"3";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0";"1"
;;"38";"van de Ven, M.A.A.";"9";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0"
;;"39";"de Neijs, E.D.E.";"216";"15";"2";"3";"6";"1";"1";"8";"0";"0";"4";"0";"1";"6";"90";"4";"1";"0";"14";"5";"18";"2";"13";"1";"6";"8";"7"
;;"40";"Hassoo, W.";"72";"11";"2";"3";"0";"1";"0";"2";"2";"0";"0";"0";"0";"2";"26";"0";"0";"1";"0";"1";"6";"0";"4";"3";"2";"2";"4"
;;"41";"Graafland-van Duijn, M.A.";"64";"5";"0";"2";"1";"1";"0";"1";"3";"2";"1";"0";"0";"3";"14";"5";"1";"2";"0";"5";"3";"0";"4";"2";"2";"6";"1"
;;"42";"den Hartogh, A.";"9";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0"
;;"43";"Wessels, R.";"12";"3";"0";"0";"1";"0";"0";"2";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"44";"Geleijnse, S.";"25";"3";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"10";"0";"0";"1";"0";"1";"2";"0";"1";"0";"0";"1";"2"
"20";"Splinter";;;"1184";"145";"32";"25";"10";"3";"12";"43";"22";"10";"7";"4";"12";"54";"333";"29";"9";"19";"21";"67";"55";"6";"108";"41";"31";"44";"42"
;;"1";"van Kooten-Arissen, F.M.";"894";"110";"23";"25";"10";"1";"9";"31";"16";"9";"5";"4";"9";"41";"223";"23";"9";"14";"19";"51";"47";"4";"85";"38";"22";"32";"34"
;;"2";"Ipenburg, N.";"82";"13";"2";"0";"0";"1";"1";"6";"2";"1";"1";"0";"1";"5";"26";"2";"0";"2";"1";"3";"2";"0";"2";"2";"3";"5";"1"
;;"3";"Bogers, T.J.";"16";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"8";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0"
;;"4";"Vos, J.";"19";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"10";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
;;"5";"Jansma, D.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"6";"Mu'ayyed Mir-Damádi, N.";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
;;"7";"Rasenberg, N.E.";"13";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1"
;;"8";"Janssen, P.G.";"6";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"9";"van der Weide, Y.";"12";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2"
;;"10";"Wehnes, E.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"11";"de Backer, R.E.";"5";"2";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Hoedeman, A.D.J.";"10";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"13";"Rechards, B.P.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"14";"Weyers, J.A.W.P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"15";"van Dam, G.A.J.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Abrahams, J.M.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"17";"Kuin, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Gerritsen, M.C.G.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0"
;;"19";"Leijendekkers, L.S.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0"
;;"20";"de Ruiter, T.K.";"8";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"21";"Pijnenburg, G.A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Schot, M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"23";"Ezendam, N.";"18";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0"
;;"24";"Peeters, L.M.";"21";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"12";"2";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0"
;;"25";"de Groot, D.S.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0"
;;"26";"van den Heuvel-Łuczycki, M.";"12";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"2"
;;"27";"Bruijstens, P.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Keizer, M.B.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Gol, T.M.L.";"9";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0"
;;"30";"de Koning, T.";"6";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1"
;;"31";"Keyser, I.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"21";"LP (Libertaire Partij)";;;"391";"83";"9";"8";"8";"7";"2";"14";"12";"0";"5";"0";"10";"12";"96";"10";"1";"6";"5";"13";"15";"1";"20";"8";"16";"17";"13"
;;"1";"van Lamoen, T.J.";"299";"72";"6";"5";"5";"7";"2";"8";"9";"0";"5";"0";"3";"11";"76";"7";"0";"5";"3";"9";"13";"1";"12";"7";"13";"12";"8"
;;"2";"Burggraaf, B.W.";"9";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1"
;;"3";"Verhagen, P.H.";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0"
;;"4";"Zijlstra, J.";"10";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"5";"Meijer, T.D.J.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Huijs, T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"7";"Pailer, S.";"27";"1";"0";"2";"2";"0";"0";"3";"1";"0";"0";"0";"0";"0";"7";"0";"0";"0";"2";"1";"1";"0";"1";"1";"2";"1";"2"
;;"8";"Loman, W.P.J.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"van den Brink, G.D.";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Backhuijs, W.Q.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Koopmans, S.F.P.";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Wassenaar, K.J.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0"
;;"13";"Noortman, M.";"7";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
