"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Lelystad"
"Nummer";;"HSB5"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almere";"Zeewolde";"Noordoostpolder";"Urk";"Dronten";"Lelystad"
;;"34";"van den Oever, J.A.";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van den Berg, J.A.M.J.";"3";"0";"0";"0";"0";"1";"2"
;;"36";"Beers, A.M.A.G.";"3";"3";"0";"0";"0";"0";"0"
;;"37";"van Luik, D.A.N.";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Dekken, B.";"4";"0";"1";"0";"0";"0";"3"
;;"39";"Luijten, S.C.A.";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Dost, H.J.";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Buijs, T.S.F.";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van de Giessen, L.H.";"6";"3";"1";"1";"0";"1";"0"
;;"43";"Bracke, D.G.A.J.";"2";"0";"0";"0";"0";"0";"2"
;;"44";"Joosten, J.P.J.";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Meppelink, E.M.";"4";"2";"0";"2";"0";"0";"0"
;;"46";"van Dijk, Q.A.";"0";"0";"0";"0";"0";"0";"0"
;;"47";"van Lankvelt, F.J.M.";"1";"1";"0";"0";"0";"0";"0"
;;"48";"Siegmann, A.H.";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Kamp, L.B.";"14";"5";"1";"1";"0";"5";"2"
"6";"SP (Socialistische Partij)";;;"7193";"3974";"294";"701";"35";"644";"1545"
;;"1";"Marijnissen, L.M.C.";"6131";"3359";"264";"612";"28";"551";"1317"
;;"2";"Beckerman, S.M.";"262";"158";"10";"28";"1";"21";"44"
;;"3";"van Kent, B.";"30";"17";"0";"4";"0";"4";"5"
