"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Leiden"
"Nummer";;"HSB15"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alphen aan den Rijn";"Capelle aan den IJssel";"Gouda";"Hillegom";"Katwijk";"Krimpen aan den IJssel";"Leiden";"Leiderdorp";"Lisse";"Nieuwkoop";"Noordwijk";"Oegstgeest";"Voorschoten";"Waddinxveen";"Wassenaar";"Zoetermeer";"Zoeterwoude";"Teylingen";"Lansingerland";"Kaag en Braassem";"Zuidplas";"Bodegraven-Reeuwijk";"Leidschendam-Voorburg";"Pijnacker-Nootdorp";"Krimpenerwaard"
;;"76";"de Wolff, I.";"8";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"13";"2";"0";"2";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"1";"1";"0";"0";"0";"0";"1";"0"
;;"78";"Yildirim, M.";"19";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"3";"1";"0";"1";"2";"0";"0";"5";"0";"0";"0";"2";"1";"0"
;;"79";"Mulder, H.";"69";"8";"6";"0";"2";"1";"0";"2";"3";"0";"3";"3";"1";"2";"3";"0";"10";"0";"3";"3";"3";"6";"1";"4";"4";"1"
;;"80";"van der Weijden, M.";"334";"39";"13";"11";"7";"7";"8";"21";"8";"7";"12";"13";"6";"16";"10";"5";"20";"3";"11";"14";"11";"28";"12";"28";"15";"9"
"2";"D66";;;"53360";"4436";"1850";"3031";"853";"1264";"757";"7845";"1571";"948";"997";"1819";"2039";"1569";"1046";"1216";"4066";"467";"2106";"2762";"1202";"1486";"1174";"4505";"2752";"1599"
;;"1";"Jetten, R.A.A.";"34856";"2935";"1276";"2009";"589";"853";"516";"4409";"921";"669";"671";"1263";"1338";"1078";"722";"892";"2790";"305";"1439";"1811";"761";"1034";"781";"2833";"1805";"1156"
;;"2";"Paternotte, J.M.";"2411";"183";"57";"83";"30";"75";"22";"533";"216";"30";"32";"81";"126";"70";"36";"31";"155";"31";"95";"96";"42";"53";"32";"151";"111";"40"
;;"3";"Vijlbrief, J.A.";"1155";"153";"40";"54";"10";"18";"18";"163";"28";"20";"49";"28";"46";"40";"18";"16";"68";"7";"37";"30";"113";"21";"27";"85";"43";"23"
;;"4";"Podt, A.";"5450";"518";"168";"358";"90";"121";"88";"780";"178";"94";"110";"185";"188";"153";"104";"97";"402";"54";"206";"321";"106";"148";"140";"364";"281";"196"
