"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"28";"Wymenga-Kooistra, G.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"29";"Jonk, S.J.M.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"30";"Zuidema, C.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"31";"van der Meeren, C.J.R.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Mensing, C.M.";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Durlacher, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Dienjes, C.S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"35";"de Bekker, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Laarhoven, E.L.O.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Eradus, R.F.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Westhoff, R.J.H.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Beverloo, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Buuren, M.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Overeem, A.C.";"48";"3";"0";"2";"3";"7";"1";"3";"0";"5";"1";"0";"0";"2";"2";"0";"0";"2";"12";"0";"3";"0";"0";"2";"0";"0"
;;"42";"Thiessens, F.B.M.";"14";"0";"0";"2";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"2";"0";"0"
;;"43";"Brouwer, A.";"31";"2";"0";"0";"1";"10";"1";"1";"0";"1";"0";"3";"1";"0";"1";"0";"0";"1";"0";"4";"0";"1";"2";"0";"2";"0"
;;"44";"Manders, T.T.A.J.";"15";"0";"0";"0";"3";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"3";"0";"0";"0";"0"
;;"45";"Filippini, L.T.C.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"46";"Verweij, D.W.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"47";"Elens, R.B.";"19";"2";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"2";"0";"5";"0";"3";"0";"1";"0";"0";"0"
;;"48";"Rolloos, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Talsma, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Smolders, H.A.J.";"5";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"19";"Nieuw Sociaal Contract";;;"163694";"9306";"5436";"3775";"7324";"24479";"5202";"8043";"7023";"13626";"5214";"5048";"6746";"2458";"5525";"1226";"4957";"4746";"11252";"5959";"4688";"6279";"4923";"2113";"6219";"2127"
;;"1";"Omtzigt, P.H.";"150261";"8531";"5092";"3379";"6599";"22602";"4933";"7604";"6540";"12326";"4793";"4873";"6336";"2277";"4717";"1116";"4792";"4360";"9626";"5632";"4328";"5895";"4095";"1883";"5981";"1951"
;;"2";"van Vroonhoven-Kok, J.N.";"3787";"223";"134";"110";"285";"470";"97";"152";"147";"328";"164";"42";"128";"45";"139";"35";"57";"88";"447";"128";"131";"122";"108";"62";"82";"63"
;;"3";"Uitermark, J.J.M.";"770";"45";"20";"18";"57";"103";"14";"32";"36";"62";"32";"17";"17";"18";"25";"9";"5";"21";"101";"13";"26";"22";"29";"18";"21";"9"
;;"4";"Veldkamp, C.C.J.";"184";"9";"3";"7";"13";"19";"4";"4";"8";"19";"15";"3";"4";"7";"2";"3";"1";"3";"26";"9";"7";"8";"3";"4";"1";"2"
;;"5";"Palmen-Schlangen, S.T.P.H.";"591";"36";"16";"16";"58";"82";"17";"27";"14";"62";"24";"7";"20";"15";"8";"6";"4";"8";"88";"6";"21";"18";"15";"6";"11";"6"
;;"6";"van Hijum, Y.J.";"2331";"42";"20";"181";"80";"82";"17";"73";"68";"79";"70";"12";"26";"50";"555";"18";"30";"43";"562";"27";"43";"38";"22";"114";"25";"54"
;;"7";"Soepboer, A.J.";"283";"13";"8";"3";"25";"41";"2";"12";"5";"11";"16";"3";"2";"1";"6";"4";"0";"9";"55";"10";"26";"11";"12";"3";"3";"2"
;;"8";"Joseph, A.S.";"120";"6";"8";"1";"13";"22";"3";"4";"4";"18";"6";"2";"3";"0";"1";"2";"1";"1";"13";"1";"4";"3";"1";"2";"1";"0"
;;"9";"Six Dijkstra, J.P.S.";"99";"4";"3";"0";"8";"19";"1";"6";"2";"5";"3";"3";"1";"1";"5";"1";"1";"3";"8";"7";"6";"3";"1";"1";"6";"1"
;;"10";"Welzijn, R.M.";"131";"7";"3";"3";"11";"19";"1";"6";"4";"11";"13";"3";"5";"3";"1";"0";"0";"3";"22";"1";"5";"4";"3";"2";"0";"1"
;;"11";"Postma, W.L.";"48";"1";"0";"0";"4";"9";"2";"1";"3";"7";"1";"0";"2";"1";"0";"0";"0";"1";"7";"4";"1";"0";"4";"0";"0";"0"
;;"12";"Zeedijk-Raeven, F.A.";"78";"6";"3";"4";"7";"8";"3";"2";"3";"8";"1";"1";"2";"0";"3";"1";"0";"2";"11";"2";"1";"2";"1";"2";"2";"3"
;;"13";"Idsinga, F.L.";"18";"0";"0";"0";"1";"3";"0";"1";"0";"1";"1";"0";"1";"0";"0";"1";"1";"0";"5";"0";"0";"0";"1";"2";"0";"0"
;;"14";"Jansen, D.E.M.C.";"250";"14";"9";"13";"10";"20";"1";"15";"9";"18";"6";"2";"7";"5";"6";"3";"3";"3";"42";"5";"26";"9";"4";"1";"5";"14"
;;"15";"van Oostenbruggen, T.";"33";"0";"0";"1";"2";"18";"0";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"0";"3";"0";"1";"1";"0";"0";"0";"0"
;;"16";"Kahraman, I.";"2465";"196";"64";"5";"30";"628";"19";"19";"76";"455";"7";"21";"118";"8";"10";"4";"9";"80";"11";"40";"3";"47";"587";"1";"26";"1"
;;"17";"Hertzberger, R.Y.";"265";"18";"8";"3";"28";"42";"2";"7";"15";"21";"10";"11";"7";"4";"2";"5";"2";"6";"34";"8";"8";"10";"7";"1";"3";"3"
;;"18";"Bruyning, F.H.";"80";"3";"0";"1";"9";"9";"2";"2";"4";"13";"1";"0";"1";"2";"3";"0";"5";"2";"16";"0";"2";"2";"3";"0";"0";"0"
;;"19";"van Dijk, O.C.";"35";"0";"0";"0";"0";"7";"1";"0";"4";"5";"2";"1";"2";"0";"0";"0";"1";"0";"7";"1";"0";"1";"0";"0";"1";"2"
;;"20";"Holman, H.";"92";"2";"1";"3";"0";"2";"1";"10";"3";"22";"4";"0";"0";"2";"1";"4";"2";"2";"8";"5";"4";"2";"0";"2";"7";"5"
;;"21";"Boomsma, D.T.";"47";"0";"0";"2";"2";"7";"3";"2";"1";"9";"3";"0";"0";"1";"0";"0";"1";"2";"11";"0";"0";"1";"2";"0";"0";"0"
;;"22";"Heite, A.";"192";"3";"6";"4";"12";"24";"3";"11";"6";"15";"6";"3";"8";"5";"5";"5";"1";"5";"31";"2";"16";"7";"2";"2";"6";"4"
;;"23";"Saris, I.G.";"686";"63";"21";"8";"35";"127";"69";"13";"28";"70";"6";"26";"36";"4";"12";"3";"22";"10";"26";"18";"3";"43";"10";"4";"27";"2"
;;"24";"Wingelaar, N.T.P.";"32";"2";"1";"1";"0";"9";"1";"2";"0";"5";"1";"1";"1";"0";"0";"0";"0";"0";"4";"1";"0";"1";"0";"1";"1";"0"
;;"25";"Koops, W.J.";"12";"1";"0";"0";"0";"1";"0";"2";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0"
;;"26";"Achahbar, N.";"77";"1";"2";"1";"10";"10";"0";"2";"4";"6";"9";"0";"1";"1";"2";"1";"0";"1";"21";"1";"2";"1";"0";"0";"0";"1"
;;"27";"van Waveren, A.";"10";"0";"0";"2";"2";"2";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"28";"de Korte-Verhoef, M.C.";"48";"2";"0";"0";"0";"11";"1";"3";"1";"6";"3";"0";"3";"0";"4";"0";"0";"1";"9";"0";"0";"2";"0";"0";"1";"1"
;;"29";"Boelhouwer, N.P.";"39";"3";"0";"0";"2";"10";"0";"1";"1";"2";"3";"1";"0";"0";"2";"0";"0";"1";"7";"2";"3";"0";"0";"0";"0";"1"
;;"30";"Schouten, M.A.C.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"31";"Kouwenhoven, A.J.";"5";"0";"0";"0";"0";"2";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Verouden, V.C.H.M.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heine, J.A.H.";"32";"2";"0";"2";"3";"3";"0";"7";"0";"0";"0";"2";"0";"3";"0";"3";"0";"0";"1";"0";"5";"1";"0";"0";"0";"0"
;;"34";"Pouwelse, S.F.W.";"9";"1";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0"
;;"35";"de Leeuw-Jongejans, M.M.";"25";"2";"0";"0";"1";"6";"0";"2";"1";"1";"1";"0";"2";"0";"2";"0";"0";"0";"5";"1";"0";"0";"0";"0";"0";"1"
;;"36";"Hartog, I.C.";"24";"1";"0";"0";"2";"2";"0";"2";"0";"3";"1";"0";"0";"0";"1";"0";"0";"5";"2";"1";"1";"2";"0";"0";"1";"0"
;;"37";"van Bruchem, R.H.J.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"1";"0";"0";"0";"0"
;;"38";"van de Ven, M.A.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"de Neijs, E.D.E.";"47";"4";"1";"1";"2";"13";"2";"0";"2";"0";"0";"2";"1";"0";"1";"0";"3";"0";"6";"1";"2";"2";"2";"2";"0";"0"
;;"40";"Hassoo, W.";"37";"3";"0";"0";"1";"7";"0";"1";"0";"7";"0";"1";"1";"0";"2";"0";"1";"0";"5";"0";"4";"3";"0";"0";"1";"0"
;;"41";"Graafland-van Duijn, M.A.";"60";"4";"2";"1";"5";"5";"0";"4";"1";"5";"4";"1";"1";"0";"1";"1";"0";"0";"16";"1";"2";"3";"2";"0";"1";"0"
;;"42";"den Hartogh, A.";"339";"53";"10";"5";"4";"27";"3";"7";"27";"19";"3";"7";"8";"5";"5";"0";"14";"83";"3";"30";"3";"12";"5";"0";"6";"0"
;;"43";"Wessels, R.";"10";"2";"0";"0";"2";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"44";"Geleijnse, S.";"29";"3";"1";"0";"1";"4";"0";"2";"1";"2";"0";"1";"1";"0";"1";"1";"0";"2";"3";"1";"1";"0";"4";"0";"0";"0"
"20";"Splinter";;;"617";"40";"18";"12";"84";"93";"9";"19";"18";"56";"29";"7";"14";"14";"15";"2";"2";"5";"97";"15";"25";"8";"11";"13";"9";"2"
;;"1";"van Kooten-Arissen, F.M.";"463";"35";"13";"9";"65";"64";"9";"15";"12";"44";"22";"7";"11";"10";"9";"1";"2";"3";"74";"10";"18";"7";"6";"8";"7";"2"
;;"2";"Ipenburg, N.";"44";"1";"2";"1";"6";"9";"0";"0";"1";"3";"2";"0";"0";"2";"0";"0";"0";"0";"7";"1";"1";"0";"4";"3";"1";"0"
;;"3";"Bogers, T.J.";"8";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0";"0"
;;"4";"Vos, J.";"9";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0"
;;"5";"Jansma, D.M.";"5";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Mu'ayyed Mir-Damádi, N.";"5";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
;;"7";"Rasenberg, N.E.";"10";"1";"1";"0";"1";"0";"0";"0";"1";"1";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"8";"Janssen, P.G.";"5";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"van der Weide, Y.";"8";"1";"1";"0";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Wehnes, E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"de Backer, R.E.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"12";"Hoedeman, A.D.J.";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Rechards, B.P.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Weyers, J.A.W.P.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"van Dam, G.A.J.";"8";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
;;"16";"Abrahams, J.M.";"4";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
;;"17";"Kuin, D.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Gerritsen, M.C.G.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Leijendekkers, L.S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"de Ruiter, T.K.";"9";"0";"0";"0";"3";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Pijnenburg, G.A.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Schot, M.";"3";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Ezendam, N.";"4";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"24";"Peeters, L.M.";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"25";"de Groot, D.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van den Heuvel-Łuczycki, M.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Bruijstens, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Keizer, M.B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Gol, T.M.L.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"30";"de Koning, T.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Keyser, I.";"7";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"21";"LP (Libertaire Partij)";;;"220";"10";"1";"4";"20";"35";"3";"16";"4";"19";"13";"2";"15";"2";"9";"3";"2";"3";"24";"1";"12";"2";"2";"8";"5";"5"
;;"1";"van Lamoen, T.J.";"176";"8";"1";"4";"13";"31";"2";"12";"4";"13";"12";"2";"13";"2";"8";"2";"1";"3";"22";"1";"7";"1";"1";"6";"3";"4"
;;"2";"Burggraaf, B.W.";"6";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0"
;;"3";"Verhagen, P.H.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"4";"Zijlstra, J.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"5";"Meijer, T.D.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Huijs, T.";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0"
;;"7";"Pailer, S.";"16";"0";"0";"0";"3";"1";"0";"2";"0";"3";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0"
;;"8";"Loman, W.P.J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"van den Brink, G.D.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"10";"Backhuijs, W.Q.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"11";"Koopmans, S.F.P.";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Wassenaar, K.J.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Noortman, M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Visser, P.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Mens, R.W.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Brokke, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kleinsmit, H.T.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"18";"Hartkamp, P.L.";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Vermeulen, E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"22";"LEF - Voor de Nieuwe Generatie";;;"278";"16";"5";"2";"45";"35";"3";"12";"5";"24";"9";"4";"10";"2";"6";"3";"4";"2";"65";"3";"6";"7";"4";"3";"0";"3"
;;"1";"van Duijn, D.C.";"124";"7";"3";"0";"17";"19";"0";"8";"1";"13";"6";"3";"5";"2";"1";"2";"3";"2";"19";"3";"2";"3";"2";"1";"0";"2"
;;"2";"Zantman, N.M.";"70";"2";"1";"2";"8";"8";"2";"0";"2";"6";"3";"1";"3";"0";"4";"0";"0";"0";"22";"0";"1";"3";"0";"2";"0";"0"
;;"3";"Neijts, Z.V.";"15";"2";"0";"0";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0"
;;"4";"Wijnker, M.I.";"18";"2";"1";"0";"3";"2";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"4";"0";"0";"0";"0";"0";"0";"1"
;;"5";"Bloem, J.F.";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"6";"van Westerlaak, R.M.G.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"van Diest, Y.A.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Kherrazi, W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"9";"Pont, I.";"7";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0"
;;"10";"Torres Noordenbos, D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"11";"Gunning, M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Berends, M.C.";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Pickkers, L.J.";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Sjiem-Fat, S.D.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hulst, P.W.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Bijl, L.";"3";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Twaalfhoven, M.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Melis, E.M.";"11";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0"
;;"19";"van Die, B.L.Y.";"4";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van Rooij, M.H.M.";"4";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
