"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
;;"6";"van Hijum, Y.J.";"44";"3";"2";"3";"2";"1";"2";"3";"1";"0";"1";"0";"1";"2";"2";"1";"3";"5";"3";"0";"0";"1";"1";"1";"6"
;;"7";"Soepboer, A.J.";"178";"22";"3";"9";"2";"4";"4";"10";"12";"2";"8";"4";"3";"13";"12";"4";"5";"21";"9";"2";"2";"1";"4";"12";"10"
;;"8";"Joseph, A.S.";"118";"12";"7";"3";"4";"1";"4";"3";"16";"1";"4";"2";"3";"9";"6";"1";"1";"11";"5";"5";"0";"2";"0";"3";"15"
;;"9";"Six Dijkstra, J.P.S.";"77";"11";"2";"1";"2";"0";"1";"4";"7";"0";"3";"2";"0";"8";"2";"0";"3";"8";"1";"2";"1";"3";"1";"2";"13"
;;"10";"Welzijn, R.M.";"109";"14";"1";"4";"2";"2";"3";"6";"16";"0";"5";"0";"0";"7";"4";"0";"2";"15";"1";"2";"2";"2";"3";"3";"15"
;;"11";"Postma, W.L.";"52";"3";"1";"4";"6";"1";"0";"0";"1";"1";"2";"1";"0";"2";"3";"2";"2";"6";"0";"4";"1";"3";"3";"3";"3"
;;"12";"Zeedijk-Raeven, F.A.";"51";"11";"3";"4";"1";"1";"0";"1";"1";"0";"1";"0";"0";"4";"1";"1";"1";"7";"0";"3";"2";"0";"4";"1";"4"
;;"13";"Idsinga, F.L.";"54";"6";"0";"2";"0";"0";"1";"2";"7";"2";"2";"0";"0";"11";"2";"0";"4";"9";"0";"0";"0";"2";"0";"0";"4"
;;"14";"Jansen, D.E.M.C.";"67";"4";"0";"1";"1";"4";"0";"0";"6";"0";"1";"0";"0";"7";"7";"4";"0";"12";"1";"4";"0";"2";"3";"2";"8"
;;"15";"van Oostenbruggen, T.";"10";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"2"
;;"16";"Kahraman, I.";"52";"6";"2";"1";"2";"0";"1";"0";"5";"3";"3";"1";"0";"7";"0";"0";"0";"11";"0";"0";"0";"1";"0";"1";"8"
;;"17";"Hertzberger, R.Y.";"209";"30";"9";"16";"6";"3";"10";"6";"19";"0";"7";"3";"0";"10";"12";"6";"4";"25";"3";"2";"1";"4";"4";"9";"20"
;;"18";"Bruyning, F.H.";"85";"7";"5";"4";"1";"1";"2";"3";"11";"1";"2";"0";"2";"9";"1";"0";"0";"16";"0";"4";"1";"2";"1";"2";"10"
;;"19";"van Dijk, O.C.";"17";"3";"0";"2";"0";"0";"1";"2";"2";"0";"1";"0";"1";"0";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Holman, H.";"17";"2";"1";"4";"0";"0";"0";"2";"1";"0";"2";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0"
;;"21";"Boomsma, D.T.";"69";"10";"0";"2";"2";"1";"0";"1";"6";"2";"6";"4";"0";"6";"1";"0";"1";"12";"0";"1";"5";"2";"1";"3";"3"
;;"22";"Heite, A.";"93";"20";"1";"3";"4";"2";"6";"4";"4";"0";"3";"1";"1";"2";"10";"6";"1";"13";"2";"0";"0";"1";"4";"2";"3"
;;"23";"Saris, I.G.";"47";"3";"0";"2";"1";"0";"1";"2";"3";"1";"3";"0";"1";"1";"1";"2";"0";"7";"2";"1";"3";"1";"2";"4";"6"
;;"24";"Wingelaar, N.T.P.";"26";"1";"0";"2";"3";"1";"2";"2";"3";"0";"0";"0";"0";"2";"1";"0";"0";"2";"1";"2";"0";"1";"1";"1";"1"
;;"25";"Koops, W.J.";"10";"2";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1"
;;"26";"Achahbar, N.";"70";"12";"1";"3";"0";"1";"1";"1";"6";"0";"2";"1";"1";"15";"1";"0";"0";"11";"1";"3";"1";"2";"1";"1";"5"
;;"27";"van Waveren, A.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"28";"de Korte-Verhoef, M.C.";"28";"3";"0";"2";"1";"2";"0";"1";"2";"1";"0";"0";"0";"1";"1";"1";"1";"3";"2";"1";"0";"0";"1";"3";"2"
;;"29";"Boelhouwer, N.P.";"38";"3";"2";"2";"0";"0";"3";"4";"0";"0";"1";"0";"1";"5";"0";"2";"0";"3";"1";"1";"3";"1";"0";"0";"6"
;;"30";"Schouten, M.A.C.";"9";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"31";"Kouwenhoven, A.J.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Verouden, V.C.H.M.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heine, J.A.H.";"9";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1"
;;"34";"Pouwelse, S.F.W.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"de Leeuw-Jongejans, M.M.";"10";"2";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0"
;;"36";"Hartog, I.C.";"13";"2";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"1"
;;"37";"van Bruchem, R.H.J.";"5";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"38";"van de Ven, M.A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"de Neijs, E.D.E.";"39";"6";"0";"2";"0";"1";"2";"3";"2";"0";"3";"1";"0";"1";"4";"0";"2";"7";"0";"2";"0";"0";"2";"0";"1"
;;"40";"Hassoo, W.";"23";"4";"0";"1";"0";"0";"5";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"6";"0";"0";"0";"0";"1";"0";"2"
;;"41";"Graafland-van Duijn, M.A.";"83";"11";"2";"3";"5";"2";"1";"3";"5";"2";"5";"0";"2";"13";"4";"1";"1";"11";"1";"2";"1";"0";"0";"3";"5"
;;"42";"den Hartogh, A.";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Wessels, R.";"7";"1";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Geleijnse, S.";"38";"7";"2";"3";"0";"0";"0";"0";"2";"0";"1";"1";"0";"4";"3";"0";"1";"5";"1";"1";"1";"0";"2";"0";"4"
"20";"Splinter";;;"969";"116";"28";"49";"27";"16";"21";"42";"88";"7";"34";"9";"5";"97";"51";"7";"29";"135";"12";"17";"16";"16";"21";"26";"100"
;;"1";"van Kooten-Arissen, F.M.";"687";"70";"20";"28";"20";"13";"17";"20";"69";"5";"28";"7";"4";"71";"37";"3";"23";"98";"9";"8";"13";"13";"13";"19";"79"
;;"2";"Ipenburg, N.";"79";"16";"4";"2";"0";"2";"0";"5";"6";"2";"1";"1";"1";"10";"3";"1";"3";"5";"1";"0";"2";"0";"3";"0";"11"
;;"3";"Bogers, T.J.";"21";"4";"0";"1";"2";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"5";"0";"2";"0";"0";"0";"1";"2"
;;"4";"Vos, J.";"10";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"0";"0";"1";"0";"1";"0";"1"
;;"5";"Jansma, D.M.";"8";"3";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0"
;;"6";"Mu'ayyed Mir-Damádi, N.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Rasenberg, N.E.";"12";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"4";"0";"0";"0";"0";"0";"2";"0"
;;"8";"Janssen, P.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"van der Weide, Y.";"10";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"2";"0";"0";"1";"1";"0"
;;"10";"Wehnes, E.";"18";"6";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
;;"11";"de Backer, R.E.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Hoedeman, A.D.J.";"61";"8";"2";"16";"3";"0";"2";"2";"2";"0";"2";"0";"0";"1";"5";"0";"2";"6";"0";"3";"0";"1";"1";"0";"5"
;;"13";"Rechards, B.P.";"5";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Weyers, J.A.W.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"van Dam, G.A.J.";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Abrahams, J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kuin, D.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"18";"Gerritsen, M.C.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Leijendekkers, L.S.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"20";"de Ruiter, T.K.";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Pijnenburg, G.A.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"22";"Schot, M.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Ezendam, N.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"24";"Peeters, L.M.";"4";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"de Groot, D.S.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van den Heuvel-Łuczycki, M.";"5";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"27";"Bruijstens, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Keizer, M.B.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Gol, T.M.L.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"30";"de Koning, T.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"31";"Keyser, I.";"15";"2";"0";"1";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"2";"0";"0";"3";"1";"0";"0";"0";"0";"1";"0"
"21";"LP (Libertaire Partij)";;;"296";"57";"9";"15";"0";"9";"8";"13";"24";"2";"12";"3";"3";"23";"14";"2";"5";"35";"5";"3";"9";"4";"5";"11";"25"
;;"1";"van Lamoen, T.J.";"201";"29";"6";"13";"0";"7";"7";"9";"14";"1";"11";"3";"3";"16";"9";"1";"3";"26";"5";"1";"7";"2";"3";"9";"16"
;;"2";"Burggraaf, B.W.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"3";"Verhagen, P.H.";"51";"23";"2";"1";"0";"1";"1";"2";"3";"0";"0";"0";"0";"3";"4";"1";"1";"2";"0";"0";"1";"1";"0";"2";"3"
;;"4";"Zijlstra, J.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"5";"Meijer, T.D.J.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Huijs, T.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Pailer, S.";"11";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"3";"0";"1";"1";"0";"0";"0";"1"
;;"8";"Loman, W.P.J.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"9";"van den Brink, G.D.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"10";"Backhuijs, W.Q.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Koopmans, S.F.P.";"3";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Wassenaar, K.J.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"13";"Noortman, M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Visser, P.R.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"15";"Mens, R.W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"16";"Brokke, M.A.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"17";"Kleinsmit, H.T.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Hartkamp, P.L.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Vermeulen, E.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"22";"LEF - Voor de Nieuwe Generatie";;;"351";"54";"17";"14";"4";"10";"8";"19";"27";"7";"9";"1";"1";"23";"17";"4";"2";"58";"5";"5";"9";"4";"3";"11";"39"
;;"1";"van Duijn, D.C.";"140";"18";"6";"7";"4";"3";"4";"10";"9";"3";"5";"0";"0";"7";"6";"1";"2";"20";"1";"3";"2";"2";"1";"6";"20"
;;"2";"Zantman, N.M.";"100";"18";"6";"4";"0";"3";"2";"3";"11";"2";"0";"0";"0";"8";"7";"1";"0";"18";"3";"1";"3";"1";"1";"3";"5"
;;"3";"Neijts, Z.V.";"16";"0";"0";"0";"0";"2";"1";"1";"0";"0";"1";"0";"0";"1";"3";"0";"0";"3";"0";"0";"2";"0";"0";"0";"2"
;;"4";"Wijnker, M.I.";"11";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0";"0";"0";"1";"2"
;;"5";"Bloem, J.F.";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"6";"van Westerlaak, R.M.G.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"7";"van Diest, Y.A.";"5";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Kherrazi, W.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"9";"Pont, I.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Torres Noordenbos, D.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"11";"Gunning, M.";"6";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"12";"Berends, M.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Pickkers, L.J.";"35";"11";"4";"2";"0";"0";"1";"3";"0";"0";"1";"1";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"1";"1";"6"
;;"14";"Sjiem-Fat, S.D.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
;;"15";"Hulst, P.W.";"3";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Bijl, L.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Twaalfhoven, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"18";"Melis, E.M.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Die, B.L.Y.";"4";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"van Rooij, M.H.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"23";"Samen voor Nederland";;;"401";"43";"14";"16";"10";"10";"12";"18";"35";"8";"15";"4";"8";"33";"19";"2";"1";"52";"9";"13";"6";"10";"9";"19";"35"
;;"1";"Reijinga, M.";"210";"25";"5";"7";"7";"7";"9";"13";"11";"8";"5";"4";"4";"17";"7";"1";"0";"29";"5";"6";"2";"4";"5";"10";"19"
;;"2";"You-ala, S.";"46";"6";"3";"5";"0";"0";"0";"0";"6";"0";"2";"0";"2";"6";"1";"0";"0";"9";"1";"0";"1";"0";"0";"1";"3"
;;"3";"ten Seldam, W.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1"
;;"4";"Olde Kalter, D.H.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"5";"Verspeek, M.R.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"6";"Huzen, J.";"19";"2";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"5";"2";"1";"0";"0";"0";"0";"0";"0";"0";"4";"2"
;;"7";"Buijs, L.J.";"8";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"1"
;;"8";"Vaneker, N.C.";"15";"2";"0";"2";"0";"0";"1";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"3"
;;"9";"Kuiper, T.R.M.";"16";"4";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1"
;;"10";"Berndsen, V.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Bosman, M.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"van den Berg, D.";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Dekker, C.J.";"9";"1";"0";"0";"1";"0";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"14";"Seijffert-Wubbels, J.M.";"4";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Korving, R.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"16";"Wagt, B.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"van der Pluijm, D.L.L.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Verspeek, M.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"19";"Ebbers, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Timmer, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Ijben, M.W.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Bink, S.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Roebersen, F.J.";"9";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"1";"0";"2"
;;"24";"Ottenhoff, R.S.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Honders, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Huijing, A.A.";"28";"1";"0";"0";"0";"2";"0";"0";"6";"0";"1";"0";"0";"1";"2";"0";"0";"2";"3";"7";"0";"0";"0";"1";"2"
;;"27";"Heesterman, E.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Zwijnenburg, E.J.";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"24";"Nederland met een PLAN";;;"441";"47";"11";"13";"5";"3";"8";"25";"34";"6";"11";"2";"3";"77";"17";"9";"2";"69";"8";"9";"4";"12";"8";"16";"42"
;;"1";"Chan, K.K.";"254";"27";"8";"4";"4";"2";"3";"13";"20";"2";"5";"0";"2";"52";"8";"5";"2";"45";"5";"8";"2";"5";"5";"9";"18"
;;"2";"Hogeweg, M.Y.";"85";"7";"2";"6";"1";"0";"3";"7";"9";"2";"3";"1";"1";"7";"7";"1";"0";"5";"2";"1";"1";"1";"0";"4";"14"
;;"3";"Groeneveld, R.M.";"13";"2";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"2"
;;"4";"Bouwman, A.K.";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"5";"Lutgens, S.I.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
