"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"34";"Schoonbeek, F.";"7";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1"
;;"35";"Mathlouti, M.";"5";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0"
;;"37";"Koops, J.H.";"8";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1"
;;"38";"Hagen, K.B.";"173";"11";"10";"5";"1";"4";"1";"24";"20";"5";"10";"21";"9";"1";"2";"8";"10";"2";"5";"24"
;;"39";"Hiemstra, G.J.";"23";"1";"0";"1";"0";"0";"1";"1";"2";"0";"1";"4";"1";"0";"0";"0";"1";"0";"3";"7"
;;"40";"Keijmel - den Boer, J.M.I.";"20";"0";"0";"1";"0";"0";"0";"8";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"4"
;;"41";"Tjeerdema, H.";"11";"0";"0";"0";"0";"1";"1";"3";"0";"0";"0";"1";"0";"0";"2";"0";"0";"2";"0";"1"
;;"42";"Woudstra, E.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Olsthoorn, A.";"12";"1";"0";"1";"0";"0";"0";"2";"1";"1";"0";"1";"1";"2";"0";"1";"0";"0";"0";"1"
;;"44";"van Peski, C.J.";"14";"0";"0";"0";"0";"0";"2";"3";"1";"1";"2";"2";"2";"0";"0";"0";"0";"0";"0";"1"
;;"45";"van Hattum, B.";"117";"0";"3";"0";"0";"0";"0";"3";"0";"0";"1";"77";"4";"0";"0";"0";"2";"0";"12";"15"
;;"46";"Dekker-Abdulaziz, H.";"40";"1";"5";"1";"0";"1";"1";"7";"3";"1";"4";"7";"2";"0";"1";"0";"3";"0";"1";"2"
;;"47";"van Driel, M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
;;"48";"Ruijs, L.J.M.";"10";"0";"2";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"2"
;;"49";"van der Gaag, P.J.";"10";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"2";"0";"0";"1";"0";"0";"0";"0";"2"
;;"50";"Bosters, E.L.";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"51";"Hoevers, J.";"8";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"2"
;;"52";"van de Vijver, V.F.";"12";"0";"2";"0";"0";"1";"0";"1";"2";"2";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1"
;;"53";"Vemer, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"54";"Wallast, R.D.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"55";"André, E.S.";"7";"0";"1";"0";"0";"0";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"56";"Wesseling, A.";"12";"0";"1";"0";"0";"0";"0";"6";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1"
